key,翻译文本（简体中文）,翻译文本（英语）,译文（繁体中文）,译文（阿拉伯语）,译文（德语）,译文（西语）,译文（法语）,译文（印尼语）,译文（意大利语）,译文（日语）,译文（韩语）,译文（马来语）,译文（波兰语）,译文（葡萄牙语）,译文（俄语）,译文（泰语）,译文（土耳其语）,译文（越南语）,译文（印地语）,译文（菲律宾语）
tools,工具页,Tools,工具頁,الأدوات,Tools,Herramientas,Outils,Alat,Strumenti,ツールページ,도구 페이지,Alat,Narzędzia,Ferramentas,Инструменты,เครื่องมือ,Araçlar,Công Cụ,टूल्स,Tools
characterId,角色ID,Character ID,角色ID,معرف الشخصية,Charakter-ID,ID del personaje,ID Personnage,ID Karakter,ID Personaggio,キャラクターID,캐릭터ID,ID Watak,Identyfikator postaci,ID do Personagem,ID персонажа,ID ตัวละคร,Karakter Kimliği,ID nhân vật,कैरेक्टर ID,Character ID
serverId,服务器ID,Server ID,伺服器ID,معرف الخادم,Server-ID,ID del servidor,ID Serveur,ID Server,ID Server,サーバーID,서버ID,ID Pelayan,Identyfikator serwera,ID do Servidor,ID сервера,ID เซิร์ฟเวอร์,Sunucu Kimliği,ID máy chủ,सर्वर ID,Server ID
recent,最新上架,Most Recent,最新上架,الأكثر بحثا,Aktuellste,M´´as reciente,Plus récentes :,Paling Baru,Più recenti,新着,최신 등록,Terbaharu,Najnowsze,Mais Recente,Недавнее,ล่าสุด,En Son,Gần Nhất,सबसे हाल का,Pinaka Kamakailan
kingdomInfo,王国信息,Kingdom Info,王國資訊,حول المملكة,Königreichinfo,Info. del reino,Infos Royaume,Info Kerajaan,Info regno,王国情報,왕국 정보,Maklumat Kerajaan,Informacje o królestwie,Informações do Reino,Информация о королевстве,ข้อมูลอาณาจักร,Krallık Bilgisi,Thông Tin Vương Quốc,किंगडम की जानकारी,Kingdom Info
kingdomInfoDesc,雷达图结构化展示战力，活跃度，战争等王国数据,"Radar chart displays kingdom stats like Power, Activity Points, and military performance.",以雷達圖結構化呈現王國的戰力、活躍度、戰爭等各項數據,يستعرض مخطط الرادار إحصائيات المملكة مثل القوة ونقاط النشاط والأداء العسكري.,"Das Radar-Diagramm zeigt Werte des Königreichs wie Energie, Aktivitätspunkte und militärische Leistung an.","La imagen del radar muestra datos del reino como su poder, actividad, puntos y rendimiento militar.","Le tableau du radar affiche les infos du royaume, telles que la puissance, les points d'activité et la performance militaire.","Diagram radar menampilkan statistik kerajaan seperti Kekuatan, Poin Aktivitas, dan performa militer.","Il grafico radar mostra le statistiche del regno come Potere, Punti Attività e prestazioni militari.",レーダーチャートで戦力、活躍度、戦争などの王国データを構造的に表示,"레이더 차트로 전투력, 활동 포인트, 전쟁 등 왕국 데이터를 시각화해 보여줍니다.","Carta radar memaparkan statistik kerajaan seperti Kuasa, Mata Aktiviti dan prestasi ketenteraan.","Wykres radarowy przedstawia statystyki królestwa, takie jak siła, punkty aktywności i skuteczność w walce.","O mapa de radar mostra estatísticas do reino, como poder, pontos de atividade e desempenho militar.","На радиальной диаграмме показаны параметры королевства, такие как мощь, очки активности и военная эффективность.","ตารางเรดาร์แสดงสถิติของอาณาจักร เช่น พลัง, คะแนนกิจกรรม และกำลังทางทหาร","Radar tablosu; krallığın güç, etkinlik puanları ve askerî performans gibi istatistiklerini gösterir.","Biểu đồ radar hiển thị các chỉ số của vương quốc như sức mạnh, điểm hoạt động và sức mạnh quân sự.","रडार चार्ट पॉवर, गतिविधि पॉइंट, और सैन्य निष्पादन जैसे किंगडम के आँकड़े प्रदर्शित करता है।","Ipinapakita ng radar chart ang mga stat ng kingdom tulad ng Power, Aktibidad, Puntos, at performance ng militar."
dataOverview,数据统计,Data Overview,數據統計,ملخص البيانات,Datenüberblick,Resumen de datos,Aperçu Données,Ringkasan Data,Panoramica dati,データ統計,데이터 통계,Gambaran Keseluruhan Data,Przegląd danych,Visão Geral dos Dados,Обзор данных,ภาพรวมข้อมูล,Veri Özeti,Tổng Quan Dữ Liệu,डेटा सिंहावलोकन,Data Overview
dataOverviewDesc,王国整体数据和成员详情数据查看,View overall kingdom stats and member details.,王國整體數據和成員詳情數據查看,عرض شامل حول وضع المملكة وتفاصيل الأعضاء.,Sieh dir die Gesamtstatistik des Königreichs und die Mitgliederdaten an.,Ver resumen de datos del reino y detalles de los miembros.,Voir les stats générales du royaume et les infos des membres.,Lihat keseluruhan statistik kerajaan dan detail anggota.,Vedi le statistiche generali del regno e i dettagli dei membri.,王国全体データとメンバー詳細データの確認,왕국 전체 데이터 및 멤버 정보 자세한 통계 보기,Lihat statistik keseluruhan kerajaan dan butiran ahli.,Sprawdź ogólne statystyki królestwa i szczegółowe informacje o członkach.,Veja as estatísticas do reino e detalhes dos membros.,Показать общие параметры королевства и сведения об участниках.,ดูสถิติอาณาจักรภาพรวมและรายละเอียดสมาชิก,Krallık verilerini ve üye detaylarını görüntüle.,Xem chỉ số tổng quan của vương quốc và chi tiết thành viên.,समग्र किंगडम आँकड़े और सदस्य विवरण देखें।,Tingnan ang kabuuang stat ng kingdom at mga detalye ng miyembro.
comingSoon,敬请期待,Coming Soon,敬請期待,سيصدر قريبًا,Bald erhältlich,Próximamente,Bientôt disponible,Segera Hadir,In arrivo,乞うご期待,Coming soon,Akan Datang Tidak Lama Lagi,Już wkrótce,Em breve,Скоро,เร็ว ๆ นี้,Çok Yakında,Sắp Ra Mắt,जल्द आ रहा है,Malapit Na
kingdomWall,王国招募墙,Kingdom Recruitment Wall,王國招募牆,جدار تجنيد المملكة,Königreich-Rekrutierungswand,Muro de reclutamiento del reino,Mur de recrutement du royaume,Dinding Perekrutan Kerajaan,Muro reclutamento regno,王国募集看板,왕국 모집 게시판,Papan Perekrutmen Kerajaan,Tablica rekrutacyjna królestwa,Mural de Recrutamento do Reino,Стена найма королевства,กำแพงจ้างงานของอาณาจักร,Krallık Asker Alım Panosu,Tường Chiêu Mộ Vương Quốc,किंगडम भर्ती वॉल,Kingdom Recruitment Wall
